sequenceID	association
LQ870219	VOYAGER
LQ870393	VOYAGER
JA062743	UNIVERSITY OF PENNSYLVANIA
OF485205	VOYAGER
MB418613	VOYAGER
JA231994	UNIVERSITY OF PENNSYLVANIA
JA232230	UNIVERSITY OF PENNSYLVANIA
PE100707	VOYAGER
JA400280	UNIVERSITY OF PENNSYLVANIA
JA231998	UNIVERSITY OF PENNSYLVANIA
JA062747	UNIVERSITY OF PENNSYLVANIA
JA400284	UNIVERSITY OF PENNSYLVANIA
JA232234	UNIVERSITY OF PENNSYLVANIA
LQ870498	VOYAGER
PE100757	VOYAGER
MB418663	VOYAGER	
MK139245	La Bella et al
MK139277	La Bella et al
MK139273	La Bella et al	
MK139254	La Bella et al
MK139268	La Bella et al
LQ870247	VOYAGER
OF485140	VOYAGER
MT709014	Cabanes-Creus et al
MK139266	La Bella et al
MK139256	La Bella et al
MK163933	La Bella et al
MK139285	La Bella et al
MK139276	La Bella et al
MK163929	La Bella et al
MK139246	La Bella et al
JB292191	UNIV NORTH CAROLINA
LY408700	UNIQURE
LX153648	UNIQURE
MK163936	La Bella et al
MK139267	La Bella et al	
MN765178	Tanzanian children	
MK139279	La Bella et al
MN765175	Tanzanian children
PE100633	VOYAGER
LQ870221	VOYAGER
MB418539	VOYAGER
OF485131	VOYAGER
PE100631	VOYAGER
MB418537	VOYAGER
LQ870217	VOYAGER
OF485128	VOYAGER
PF100632	BIOMARIN
MB418538	VOYAGER
OF485130	VOYAGER	
PF121046	TENAYA
OM451154	He et al
AF028704	Rutledge et al
FB292926	UNIVERSITY OF PENNSYLVANIA
JB292186	UNIV NORTH CAROLINA
MK139245	La Bella et al
MK139277	La Bella et al
MK139273	La Bella et al
MK139254	La Bella et al
MK139268	La Bella et al
MT709008	Cabanes-Creus et al
LQ396105	UNIV ARKANSAS 
MT709012	Cabanes-Creus et al
MK139297	La Bella et al
LQ870498	VOYAGER
PE100757	VOYAGER
MB418663	VOYAGER
OF485255	VOYAGER	
PE100598	VOYAGER
MB418504	VOYAGER
LQ870148	LQ870498	
OF283701	VOYAGER	
LQ870514	VOYAGER
PE100765	VOYAGER
MB418671	VOYAGER
OF485263	VOYAGER	
ON755355	Nambiar et al
MT709012	Cabanes-Creus et al
JA062750	UNIVERSITY OF PENNSYLVANIA
PE100700	VOYAGER
LQ870380	VOYAGER
JA232237	UNIVERSITY OF PENNSYLVANIA
JA232001	UNIVERSITY OF PENNSYLVANIA
PE100752	VOYAGER
LQ870485	VOYAGER
MB418658	VOYAGER
OF485250	VOYAGER
LQ870502	VOYAGER
PE100759	VOYAGER
MB418665	VOYAGER
OF485257	VOYAGER
LQ870154	VOYAGER
PE100601	VOYAGER
PE100753	VOYAGER
LQ870487	VOYAGER
OF485251	VOYAGER
MB418659	VOYAGER
LQ870489	VOYAGER
MB418660	VOYAGER
PE100754	VOYAGER
OF485252	VOYAGER
LQ870504	VOYAGER
MB418666	VOYAGER
PE100760	VOYAGER
OF485258	VOYAGER
MT709008	Cabanes-Creus et al
AY631966	Mori et al
MK163937	La Bella et al
MK139271	La Bella et al
MK139262	La Bella et al
MK139284	La Bella et al
OF485129	VOYAGER
PE100630	VOYAGER
MB418536	VOYAGER
DQ813647	Schmidt et al
NC_001829	Chiorini et  al
LQ870160	VOYAGER
MB418510	VOYAGER
PE100604	VOYAGER
OF485103	VOYAGER	
MB418513	VOYAGER	
PE100607	VOYAGER
LQ870166	VOYAGER
OF485106	VOYAGER
MB418511	VOYAGER
LQ870162	VOYAGER
OF485104	VOYAGER
PE100605	VOYAGER
OF485104	VOYAGER
PE100606	VOYAGER
MB418512	VOYAGER
OF485105	VOYAGER
LQ870395	VOYAGER
OF485206	VOYAGER
MB418614	VOYAGER
LQ870184	VOYAGER
LX153641	UNIQURE
LY408693	Lubelski et al
LY833223	VOYAGER
MB418521	VOYAGER
LF643462	CHILDREN'S HOSPITAL INC
MD729635	CHILDREN'S HOSPITAL INC
LG168865	CHILDREN'S HOSPITAL INC
LQ870160	VOYAGER
ON755364	Nambiar et al
AX753250	UNIVERSITY OF PENNSYLVANIA
AF043303	Ruffing et al
AX135805	UNIVERSITY OF ARKANSAS
MK139243	La Bella et al
MK139247	La Bella et al
MK139248	La Bella et al
MK139250	La Bella et al
MK139251	La Bella et al
MK139253	La Bella et al
MK139258	La Bella et al
MK139259	La Bella et al
MK139261	La Bella et al
MK139263	La Bella et al
MK139264	La Bella et al
MK139265	La Bella et al
MK139269	La Bella et al
MK139270	La Bella et al
MK139272	La Bella et al
MK139274	La Bella et al
MK139275	La Bella et al
MK139278	La Bella et al
MK139280	La Bella et al
MK139281	La Bella et al
MK139282	La Bella et al
MK139283	La Bella et al
MK139286	La Bella et al
MK139287	La Bella et al
MK139288	La Bella et al
MK139289	La Bella et al
MK139291	La Bella et al
MK139292	La Bella et al
MK139293	La Bella et al
MK139294	La Bella et al
MK139295	La Bella et al
MK139298	La Bella et al
MK139299	La Bella et al
MK163931	La Bella et al
MK163932	La Bella et al
MK163935	La Bella et al
MK163938	La Bella et al
MK163939	La Bella et al
MK163942	La Bella et al
MN765173	Tanzanian children
MN765174	Tanzanian children
MN765176	Tanzanian children
MN765177	Tanzanian children
MN765179	Tanzanian children
MN765180	Tanzanian children
MN765181	Tanzanian children
MN765182	Tanzanian children
MP372428	UNIV CHILE
MT709009	Cabanes-Creus et al
OF078830	Oxford University Innovation Limited
OF283677	VOYAGER
OF485073	VOYAGER
OF485074	VOYAGER
OF485147	VOYAGER
OF485200	VOYAGER
OF485202	VOYAGER
OP019741	Ho et al
OP019742	Ho et al	
OP019743	Ho et al	
OP019744	Ho et al	
OP019745	Ho et al	
OP019746	Ho et al	
OP019747	Ho et al	
OP019748	Ho et al	
OP019749	Ho et al	
OP161114	Morfopoulou et al
OP161115	Morfopoulou et al
OP161116	Morfopoulou et al
OP161117	Morfopoulou et al
OP161118	Morfopoulou et al
OP161119	Morfopoulou et al
OP161120	Morfopoulou et al
OP161121	Morfopoulou et al
OP161122	Morfopoulou et al
OP161123	Morfopoulou et al
OP161124	Morfopoulou et al
OP161125	Morfopoulou et al
OP161126	Morfopoulou et al
OP161127	Morfopoulou et al
OP161128	Morfopoulou et al
OP161129	Morfopoulou et al
OP161130	Morfopoulou et al
OP161131	Morfopoulou et al
OP161132	Morfopoulou et al
OP161133	Morfopoulou et al
OP161134	Morfopoulou et al
OQ130187	Lamson et al
OR119757	Leiden University Patient 5
OR129877	Leiden University Patient 5
