taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100633	PE100633	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100642	PE100642	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100652	PE100652	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100699	PE100699	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100700	PE100700	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100707	PE100707	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100708	PE100708	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100749	PE100749	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100752	PE100752	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100753	PE100753	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100754	PE100754	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100757	PE100757	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100759	PE100759	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100760	PE100760	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PE100765	PE100765	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PF121046	PF121046	-	TENAYA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/PF122936	PF122936	-	CHILDREN'S HOSPITAL INC	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/AF063497	AF063497	AAV1	Xiao et al	DependoA	Adeno-associated virus - 1	-	-	10196295
alignment/AL_AAV1/member/ncbi-nuccore-aav/AX753251	AX753251	AAV1	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/DI393761	DI393761	AAV1	-	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/FB292908	FB292908	AAV1	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/HW608043	HW608043	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/JB292180	JB292180	AAV1	UNIV NORTH CAROLINA	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/JC278188	JC278188	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/JC285043	JC285043	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/LQ870089	LQ870089	AAV1	VOYAGER	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/LX153636	LX153636	AAV1	UNIQURE IP B.V	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/LY408688	LY408688	AAV1	UNIQURE IP B.V	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/LZ233295	LZ233295	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/MB418473	MB418473	AAV1	VOYAGER	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-refseqs/NC_002077	NC_002077	AAV1	Xiao et al	DependoA	Adeno-associated virus - 1	-	-	10196295
alignment/AL_AAV1/member/ncbi-nuccore-aav/OF116274	OF116274	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/OF485067	OF485067	AAV1	VOYAGER	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/ON755350	ON755350	AAV1	Nambiar et al	DependoA	Adeno-associated virus	AAVrh91_FL	Macaca mulatta	35906801
alignment/AL_AAV1/member/ncbi-nuccore-aav/PA554130	PA554130	AAV1	ASSOCIATION INSTITUT DE MYOLOGIE	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/PE100567	PE100567	AAV1	VOYAGER	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV1/member/ncbi-nuccore-aav/PE468513	PE468513	AAV1	VOYAGER	DependoA	Adeno-associated virus - 1	-	-	-
alignment/AL_AAV10/member/ncbi-refseqs/AY631965	AY631965	AAV10	Mori et al	DependoA	adeno-associated virus 10	-	-	15567432
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA062746	JA062746	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA062748	JA062748	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA231997	JA231997	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA231999	JA231999	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA232233	JA232233	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA232235	JA232235	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA400283	JA400283	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/JA400285	JA400285	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LQ870156	LQ870156	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LQ870158	LQ870158	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LQ870288	LQ870288	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LQ870289	LQ870289	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LX153645	LX153645	AAV10	-	DependoA	adeno-associated virus 10	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/LY408697	LY408697	AAV10	-	DependoA	adeno-associated virus 10	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/MB418508	MB418508	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/MB418509	MB418509	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/MB418565	MB418565	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/MB418566	MB418566	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/OF485101	OF485101	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/OF485102	OF485102	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/OF485157	OF485157	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/OF485158	OF485158	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/PE100602	PE100602	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/PE100603	PE100603	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/PE100659	PE100659	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV10/member/ncbi-nuccore-aav/PE100660	PE100660	AAV10	-	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-refseqs/AY631966	AY631966	AAV11	Mori et al	DependoA	Adeno-associated virus 11	-	-	15567432
alignment/AL_AAV11/member/ncbi-nuccore-aav/JB292190	JB292190	AAV11	UNIV NORTH CAROLINA	DependoA	Adeno-associated virus 11	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/LQ870508	LQ870508	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/LQ870510	LQ870510	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/LX153646	LX153646	AAV11	UNIQURE IP B.V	DependoA	Adeno-associated virus 11	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/LY408698	LY408698	AAV11	UNIQURE IP B.V	DependoA	Adeno-associated virus 11	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/MB418668	MB418668	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/MB418669	MB418669	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/OF485260	OF485260	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/OF485261	OF485261	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/ON755353	ON755353	AAV11	Nambiar et al	DependoA	Adeno-associated virus	AAVrh92_FL	Macaca mulatta	35906801
alignment/AL_AAV11/member/ncbi-nuccore-aav/PE100762	PE100762	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV11/member/ncbi-nuccore-aav/PE100763	PE100763	AAV11	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV12/member/ncbi-refseqs/DQ813647	DQ813647	AAV12	Schmidt et al	DependoA	Adeno-associated virus 12	-	-	18045941
alignment/AL_AAV12/member/ncbi-nuccore-aav/LX153647	LX153647	AAV12	-	DependoA	Adeno-associated virus 12	-	-	-
alignment/AL_AAV12/member/ncbi-nuccore-aav/LY408699	LY408699	AAV12	-	DependoA	Adeno-associated virus 12	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/AF043303	AF043303	AAV2	Ruffing et al	DependoA	adeno-associated virus 2	-	-	7996133
alignment/AL_AAV2/member/ncbi-nuccore-aav/AX135805	AX135805	AAV2	UNIVERSITY OF ARKANSAS	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/AX282480	AX282480	AAV2	Neurologix	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/AX286292	AX286292	AAV2	BTG INTERNATIONAL LIMITED	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/AX753252	AX753252	AAV2	UNIVERSITY OF PENNSYLVANIA	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/AY695371	AY695371	AAV2	Chen et al	DependoA	Adeno-associated virus	hu.T32	Homo sapiens	16282478
alignment/AL_AAV2/member/ncbi-nuccore-aav/AY695372	AY695372	AAV2	Chen et al	DependoA	Adeno-associated virus	hu.T40	Homo sapiens	16282478
alignment/AL_AAV2/member/ncbi-nuccore-aav/AY695373	AY695373	AAV2	Chen et al	DependoA	Adeno-associated virus	hu.T70	Homo sapiens	16282478
alignment/AL_AAV2/member/ncbi-nuccore-aav/AY695374	AY695374	AAV2	Chen et al	DependoA	Adeno-associated virus	hu.T71	Homo sapiens	16282478
alignment/AL_AAV2/member/ncbi-nuccore-aav/AY695375	AY695375	AAV2	Chen et al	DependoA	Adeno-associated virus	hu.T88	Homo sapiens	16282478
alignment/AL_AAV2/member/ncbi-nuccore-aav/BD094552	BD094552	AAV2	TAKARA SHUZO CO	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/BD393207	BD393207	AAV2	NEUROLOGIX	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/BD405233	BD405233	AAV2	BTG INTERNATIONAL LIMITED	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/CS435814	CS435814	AAV2	THE CLEVELAND CLINIC FOUNDATION	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/DI006503	DI006503	AAV2	UENO (Ueno et al)	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/DI392350	DI392350	AAV2	ISIS INNOVATION	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/FB292925	FB292925	AAV2	UNIVERSITY OF PENNSYLVANIA	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/FW506001	FW506001	AAV2	CHILDREN'S HOSPITAL INC	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/HW580763	HW580763	AAV2	ISIS INNOVATION	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/J01901	J01901	AAV2	Samulski et al	DependoA	adeno-associated virus 2	-	-	6088052
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA062738	JA062738	AAV2	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA062741	JA062741	AAV2	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA062742	JA062742	AAV2	UNIVERSITY OF PENNSYLVANIA	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA231989	JA231989	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA231992	JA231992	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA231993	JA231993	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA232225	JA232225	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA232228	JA232228	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA232229	JA232229	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA400275	JA400275	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA400278	JA400278	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA400279	JA400279	AAV2	Gao et al	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JA793972	JA793972	AAV2	ISIS INNOVATION	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/JB292181	JB292181	AAV2	UNIV NORTH CAROLINA	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/KY271943	KY271943	AAV2	Marine et al	DependoA	Adeno-associated virus	-	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ396099	LQ396099	AAV2	UNIV ARKANSAS	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ864733	LQ864733	AAV2	UNIV CHILE	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ870099	LQ870099	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ870100	LQ870100	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ870275	LQ870275	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ870383	LQ870383	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ870386	LQ870386	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LQ999771	LQ999771	AAV2	UNIV OXFORD INNOVATION 	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LX153637	LX153637	AAV2	UNIQURE IP B.V	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LY408689	LY408689	AAV2	UNIQURE IP B.V	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LY833184	LY833184	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/LZ990128	LZ990128	AAV2	ISIS INNOVATION	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MB418479	MB418479	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MB418480	MB418480	AAV2	VOYAGER	DependoA	adeno-associated virus 2	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MB418555	MB418555	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MB418608	MB418608	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MB418610	MB418610	AAV2	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139243	MK139243	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC129_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139247	MK139247	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC371_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139248	MK139248	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC387_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139250	MK139250	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC471_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139251	MK139251	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC473_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139253	MK139253	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC667_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139258	MK139258	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC767_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139259	MK139259	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC777_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139261	MK139261	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC877_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139263	MK139263	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC985_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139264	MK139264	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1010_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139265	MK139265	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1017_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139269	MK139269	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1260_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139270	MK139270	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1273_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139272	MK139272	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1343_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139274	MK139274	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1449_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139275	MK139275	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1534_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139278	MK139278	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1602_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139280	MK139280	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1919_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139281	MK139281	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2040_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139282	MK139282	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2087_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139283	MK139283	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2102_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139286	MK139286	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2128_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139287	MK139287	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2141_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139288	MK139288	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2206_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139289	MK139289	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2208_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139291	MK139291	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2497_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139292	MK139292	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2557_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139293	MK139293	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2731_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139294	MK139294	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC2806_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139295	MK139295	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC3013_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139298	MK139298	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC3511_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK139299	MK139299	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC3765_AAV.FL.linear	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163931	MK163931	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC471_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163932	MK163932	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC473_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163935	MK163935	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC877_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163938	MK163938	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC1449_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163939	MK163939	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC3013_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MK163942	MK163942	AAV2	La Bella et al	DependoA	Adeno-associated virus	CHC3511_AAV.FL.circular	Homo sapiens	-
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765173	MN765173	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-230D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765174	MN765174	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-278D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765176	MN765176	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-578D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765177	MN765177	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-634D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765179	MN765179	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-849D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765180	MN765180	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-839D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765181	MN765181	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-446D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MN765182	MN765182	AAV2	Tanzanian children	DependoA	Dependoparvovirus primate1	SAfia-263D	Homo sapiens	33929935
alignment/AL_AAV2/member/ncbi-nuccore-aav/MP372428	MP372428	AAV2	UNIV CHILE	DependoA	adeno-associated virus 2	-	-	-
