taxon	sequenceID	species	association	lineage	full_name	isolate	sampled_host_sci_name	pubmed_id
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870172	LQ870172	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870174	LQ870174	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870215	LQ870215	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870217	LQ870217	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870219	LQ870219	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870221	LQ870221	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870247	LQ870247	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870278	LQ870278	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870378	LQ870378	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870380	LQ870380	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870393	LQ870393	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870395	LQ870395	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870476	LQ870476	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870485	LQ870485	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870487	LQ870487	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870489	LQ870489	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870498	LQ870498	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870502	LQ870502	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870504	LQ870504	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LQ870514	LQ870514	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LX153648	LX153648	-	UNIQURE IP B.V	DependoA	Adeno-associated virus 13	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/LY408700	LY408700	-	UNIQURE IP B.V	DependoA	Adeno-associated virus 13	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418486	MB418486	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418504	MB418504	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418507	MB418507	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418510	MB418510	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418511	MB418511	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418512	MB418512	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418513	MB418513	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418516	MB418516	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418517	MB418517	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418536	MB418536	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418537	MB418537	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418538	MB418538	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418539	MB418539	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418548	MB418548	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418558	MB418558	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418605	MB418605	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418606	MB418606	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
alignment/AL_DependoA/member/ncbi-nuccore-aav/MB418613	MB418613	-	VOYAGER	DependoA	Adeno-associated virus	-	-	-
